FID,Region,Country,Reactor,Plant,Plant_Loc,Latitude,Longitude,Status,Type,Start_Date,Year_Built,Grid_Date,Shutdown,Wikipedia,Photo,PhotoCred,NumReactor,Ref_2012,Totalpower,Ref_2011,Ref_2010,Ref_2009,Ref_2008,Ref_2007,Ref_2006,Ref_2005,Ref_2004,Ref_2003,Ref_2002,Ref_2001,Ref_2000,Ref_1999,Ref_1998,Ref_1997,Ref_1996,Ref_1995,Ref_1994,Ref_1993,Ref_1992,Ref_1991,Ref_1990,Ref_1989,Ref_1988,Ref_1987,Ref_1986,Ref_1985,Ref_1984,Ref_1983,Ref_1982,Ref_1981,Ref_1980,Ref_1979,Ref_1978,Ref_1977,Ref_1976,Ref_1975,Ref_1974,Ref_1973,Ref_1972,Ref_1971,Ref_1970,Ref_1969,Ref_1968,Ref_1967,Ref_1966,Ref_1965,Ref_1964,Ref_1963,Ref_1962,Ref_1961,Ref_1960,Ref_1959,Ref_1958,Ref_1957,Ref_1956
0,Africa,SOUTH AFRICA,KOEBERG-1,KOEBERG,Seacoast,-33.676152,18.433098,Operational,Pressurised Water Reactor,7/1/1976,1976,4/4/1984, ,http://en.wikipedia.org/wiki/Koeberg,http://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Koebergnps.jpg/800px-Koebergnps.jpg,Wikipedia,2,930,1830,930,900,900,900,900,900,900,900,900,900,920,920,920,920,920,920,920,920,920,920,920,920,922,920,920,922,920,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Africa,SOUTH AFRICA,KOEBERG-2,KOEBERG,Seacoast,-33.676152,18.433098,Operational,Pressurised Water Reactor,7/1/1976,1976,7/25/1985, ,http://en.wikipedia.org/wiki/Koeberg,http://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Koebergnps.jpg/800px-Koebergnps.jpg,Wikipedia,2,900,1830,900,900,900,900,900,900,900,900,900,900,920,920,920,920,920,920,920,920,920,920,920,920,922,920,920,922,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,America - Latin,ARGENTINA,ATUCHA-1,ATUCHA,Inland near a river,-33.968002,-59.20374,Operational,Pressurised Heavy Water Reactor,6/1/1968,1968,3/19/1974, ,http://en.wikipedia.org/wiki/Atucha_I_Nuclear_Power_Plant,http://upload.wikimedia.org/wikipedia/commons/a/a8/Atucha_desde_el_Parana.jpg,Wikipedia,2,335,1027,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,345,345,319,319,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,America - Latin,ARGENTINA,ATUCHA-2,ATUCHA,Inland near a river,-33.968002,-59.20374,Under Construction,Pressurised Heavy Water Reactor,7/14/1981,1981,7/6/2012, ,http://en.wikipedia.org/wiki/Atucha_II_Nuclear_Power_Plant,http://upload.wikimedia.org/wikipedia/commons/a/a8/Atucha_desde_el_Parana.jpg,Wikipedia,2,692,1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,America - Latin,ARGENTINA,EMBALSE,EMBALSE,Inland near a lake,-32.232154,-64.443385,Operational,Pressurised Heavy Water Reactor,4/1/1974,1974,4/25/1983, ,http://en.wikipedia.org/wiki/Embalse_Nuclear_Power_Station, , ,1,600,600,600,600,600,600,600,600,600,600,600,600,600,643,598,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,America - Latin,BRAZIL,ANGRA-1,ANGRA,Seacoast,-23.007857,-44.458098,Operational,Pressurised Water Reactor,5/1/1971,1971,4/1/1982, ,http://en.wikipedia.org/wiki/Angra_Nuclear_Power_Plant,http://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Vista_Angra.jpg/800px-Vista_Angra.jpg,Wikipedia,3,609,3129,609,609,609,491,520,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,America - Latin,BRAZIL,ANGRA-2,ANGRA,Seacoast,-23.007857,-44.458098,Operational,Pressurised Water Reactor,1/1/1976,1976,7/21/2000, ,http://en.wikipedia.org/wiki/Angra_Nuclear_Power_Plant,http://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Vista_Angra.jpg/800px-Vista_Angra.jpg,Wikipedia,3,1275,3129,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1350,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,America - Latin,BRAZIL,ANGRA-3,ANGRA,Seacoast,-23.007857,-44.458098,Under Construction,Pressurised Water Reactor,6/1/2010,2010, , ,http://en.wikipedia.org/wiki/Angra_Nuclear_Power_Plant,http://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Vista_Angra.jpg/800px-Vista_Angra.jpg,Wikipedia,3,1245,3129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,America - Latin,MEXICO,LAGUNA VERDE-1,LAGUNA VERDE,Seacoast,19.720238,-96.405252,Operational,Boiling Water Reactor,10/1/1976,1976,4/13/1989, ,http://en.wikipedia.org/wiki/Laguna_Verde_Nuclear_Power_Station,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Laguna_Verde_Nuclear_Power_Plant.jpg/800px-Laguna_Verde_Nuclear_Power_Plant.jpg,Wikipedia,2,650,1300,650,650,650,650,680,680,680,680,680,680,645,645,682,655,615,655,628,628,654,654,640,640,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,America - Latin,MEXICO,LAGUNA VERDE-2,LAGUNA VERDE,Seacoast,19.720238,-96.405252,Operational,Boiling Water Reactor,6/1/1977,1977,11/11/1994, ,http://en.wikipedia.org/wiki/Laguna_Verde_Nuclear_Power_Station,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Laguna_Verde_Nuclear_Power_Plant.jpg/800px-Laguna_Verde_Nuclear_Power_Plant.jpg,Wikipedia,2,650,1300,650,650,650,650,680,680,680,680,680,680,645,645,682,655,627,619,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
