plant_id,plant,country,region,lat,lon,num_reactors,iso3,pop30_1990,pop30_2000,pop30_2010,pop75_1990,pop75_2000,pop75_2010,pop300_1990,pop300_2000,pop300_2010
0,AGESTA,SWEDEN,Europe - Western,59.206022,18.082872,1,SWE,1290370.0,1430100.0,1500960.0,1749300.0,1943540.0,2039670.0,5013240.0,5227700.0,5471110.0
1,ALMARAZ,SPAIN,Europe - Western,39.8081,-5.69694,2,ESP,48345.2,47108.5,53055.4,387982.0,380366.0,427595.0,17756500.0,18187800.0,20185200.0
2,ANGRA,BRAZIL,America - Latin,-23.007857,-44.458098,3,BRA,129499.0,136945.0,153022.0,1185920.0,1269060.0,1420200.0,39546400.0,44701700.0,50210600.0
3,ARKANSAS ONE,UNITED STATES OF AMERICA,America - Northern,35.31032,-93.231289,2,USA,75433.4,83087.4,91498.0,197016.0,218462.0,240679.0,5603180.0,6226360.0,6866840.0
4,ASCO,SPAIN,Europe - Western,41.2,0.56667,2,ESP,52259.6,52798.8,59487.4,849379.0,884514.0,996212.0,14398500.0,15095600.0,16830700.0
5,ATUCHA,ARGENTINA,America - Latin,-33.968002,-59.20374,2,ARG,133755.0,147876.0,162171.0,1598790.0,1747870.0,1922590.0,17957600.0,19753900.0,21564000.0
6,AVR,GERMANY,Europe - Western,50.903056,6.421111,1,DEU,1562750.0,1623110.0,1623720.0,10809200.0,11209400.0,11299200.0,71747700.0,75061700.0,76803300.0
7,BALAKOVO,RUSSIAN FEDERATION,Europe - Central and Eastern,52.092935,47.956762,4,RUS,275014.0,246607.0,234966.0,561456.0,504864.0,481221.0,8561830.0,8735520.0,8403590.0
8,BARSEBACK,SWEDEN,Europe - Western,55.744444,12.920833,2,SWE,1311470.0,1367250.0,1414410.0,2714440.0,2835740.0,2936350.0,14322300.0,14656900.0,14944100.0
9,BEAVER VALLEY,UNITED STATES OF AMERICA,America - Northern,40.6219,-80.4339,2,USA,405510.0,402735.0,444309.0,3099760.0,3095980.0,3415270.0,20035700.0,20656500.0,22782900.0
10,BELENE,BULGARIA,Europe - Central and Eastern,43.62944,25.189345,2,BGR,219381.0,198844.0,187709.0,1591650.0,1451020.0,1369220.0,24514200.0,22983200.0,21954200.0
11,BELLEVILLE,FRANCE,Europe - Western,47.5075,2.8775,2,FRA,93007.3,94087.6,99715.4,859988.0,868248.0,920199.0,30802000.0,31568500.0,33466400.0
12,BELOYARSKY,RUSSIAN FEDERATION,Europe - Central and Eastern,56.85,61.3167,4,RUS,354917.0,342104.0,328525.0,2497290.0,2413990.0,2319770.0,9629590.0,9448380.0,9052930.0
13,BERKELEY,UNITED KINGDOM,Europe - Western,51.6925,-2.493611,2,GBR,919885.0,933832.0,980568.0,4161570.0,4248630.0,4462070.0,48228300.0,49608700.0,52144200.0
14,BEZNAU,SWITZERLAND,Europe - Western,47.552148,8.228175,2,CHE,966786.0,1036220.0,1091490.0,5227290.0,5588150.0,5848000.0,51820800.0,54299600.0,55934500.0
15,BIBLIS,GERMANY,Europe - Western,49.709305,8.414744,2,DEU,1417970.0,1507860.0,1502600.0,6892210.0,7282490.0,7257690.0,67225800.0,70487100.0,71265900.0
16,BIG ROCK POINT,UNITED STATES OF AMERICA,America - Northern,45.358889,-85.197222,1,USA,47833.6,49856.5,54643.1,184289.0,192899.0,211402.0,4465530.0,4700450.0,5175490.0
17,BILIBINO,RUSSIAN FEDERATION,Europe - Central and Eastern,68.050658,166.539698,4,RUS,305.183,288.958,275.935,2505.34,2450.94,2334.34,35863.9,36419.6,34535.7
18,BLAYAIS,FRANCE,Europe - Western,45.255907,-0.691883,4,FRA,123094.0,130964.0,138711.0,1439210.0,1533530.0,1625600.0,13452700.0,13956500.0,14949600.0
19,BN-350,KAZAKHSTAN,,43.607,51.283,1,KAZ,49687.9,158157.0,167590.0,54288.9,163930.0,173642.0,265382.0,337986.0,352088.0
20,BOHUNICE,SLOVAK REPUBLIC,Europe - Central and Eastern,48.494444,17.681944,5,SVK,363231.0,375246.0,380731.0,2459420.0,2539280.0,2577920.0,38248900.0,38802100.0,38974400.0
21,BONUS,UNITED STATES OF AMERICA,America - Northern,18.366389,-67.268611,1,USA,290708.0,306038.0,319913.0,944526.0,1028090.0,1077300.0,7205840.0,8025120.0,8852240.0
22,BORSSELE,NETHERLANDS,Europe - Western,51.431623,3.717595,1,NLD,424138.0,439182.0,459171.0,5297620.0,5467160.0,5734860.0,69169200.0,71577800.0,74399800.0
23,BRADWELL,UNITED KINGDOM,Europe - Western,51.741389,0.896944,2,GBR,814133.0,825746.0,867585.0,7332110.0,7435970.0,7813190.0,62678800.0,64530100.0,67825700.0
24,BRAIDWOOD,UNITED STATES OF AMERICA,America - Northern,41.2436,-88.2289,2,USA,101823.0,101482.0,112031.0,3299010.0,3543800.0,3919030.0,20784400.0,22610900.0,24967600.0
25,BRENNILIS,FRANCE,Europe - Western,48.3533,-3.872203,1,FRA,148635.0,152257.0,161339.0,1146210.0,1175480.0,1246090.0,8529040.0,8949220.0,9461630.0
26,BROKDORF (KBR),GERMANY,Europe - Western,53.850833,9.344722,1,DEU,322320.0,339284.0,338500.0,3948220.0,4158950.0,4169960.0,32487300.0,33718500.0,34025400.0
27,BROWNS FERRY,UNITED STATES OF AMERICA,America - Northern,34.7042,-87.1186,3,USA,144627.0,155692.0,171690.0,792341.0,861088.0,949678.0,12084100.0,14093000.0,15558300.0
28,BRUCE,CANADA,America - Northern,44.326136,-81.594719,8,CAN,28509.5,30957.8,33890.8,146571.0,160081.0,175530.0,16485400.0,18151800.0,20044100.0
